Ciudad 1,Costo ciudad 1,Coordenada X Ciudad 1,Coordenada Y Ciudad 1,Ciudad 2,Costo ciudad 2,Coordenada X Ciudad 2,Coordenada Y Ciudad 2,Costo del enlace
Hays,69,3762,2836,Salina KS,131,4059,2830,95
Santa Fe,138,2783,3552,Vaughn,61,2891,3775,95
Vaughn,61,2891,3775,Roswell,118,3000,4011,95
Davenport,72,5100,2204,Peoria,142,5251,2375,96
Portland,141,7860,1131,Concord,58,7694,1286,96
Spanish Fork,98,1931,2643,Salina UT,125,1892,2862,96
Eau Claire,101,4875,1552,Minneapolis,77,4662,1555,97
Greensboro,120,6900,3059,Charlotte,144,6861,3274,97
Mayrtle Beach,134,7150,3510,Charleston SC,140,7039,3701,97
Needles,133,1382,3603,Blythe,118,1350,3846,97
Sioux City,82,4227,2117,Omaha,106,4298,2366,97
Snyder,129,3586,4154,San Angelo,122,3670,4425,97
Alexandria,107,5021,4388,Lake Charles,142,4912,4620,98
Brownwood,113,3843,4316,San Angelo,122,3670,4425,98
Minneapolis,77,4662,1555,Albert Lea,67,4640,1828,98
Roanoke,74,6851,2803,Greensboro,120,6900,3059,98
Tucumcari,67,3135,3662,Vaughn,61,2891,3775,98
Huntsville,84,5889,3551,Birmigham,131,5888,3809,99
Klamath Falls,136,520,1873,Lakeview,134,759,1942,99
Newport,129,318,1316,Coos Bay,91,217,1587,99
Campeche,100,1730,914,Ciudad del Carmen,90,1629,997,100
Cheyenne,112,3003,2422,Denver,125,2965,2706,100
St. Louis,127,5217,2808,Springfield IL,94,5267,2566,100
Green River,91,2214,2845,Grand Junction,132,2416,2832,101
North Platte,132,3435,2415,Kearney,101,3633,2510,101
Saginaw,122,6003,1680,Detroit,114,6166,1872,101
Portland,141,545,1179,Biggs,119,802,1213,102
Albuquerque,105,2666,3670,Vaughn,61,2891,3775,103
Amarillo,149,3440,3647,Clovis,103,3226,3817,103
Blythe,118,1350,3846,Yuma,116,1333,4032,103
Calais,74,8147,694,Bangor,123,7967,835,103
Cincinnati,52,6077,2557,Louisville,105,5924,2780,103
Watertown SD,57,4121,1606,Sioux Falls,143,4165,1889,103
Clovis,103,3226,3817,Lubbock,113,3439,4012,104
Lubbock,113,3439,4012,Odessa,126,3338,4309,104
Philadelphia,141,7410,2084,Baltimore,105,7297,2242,104
Aberdeen,70,3902,1510,Watertown SD,57,4121,1606,105
Charleston SC,140,7039,3701,Savannah,78,6885,3887,105
Decorah,98,4877,1878,Dubuque,55,5037,2025,105
Grants Pass,146,309,1790,Klamath Falls,136,520,1873,105
Tulsa,121,4374,3420,Oklahoma City,122,4136,3580,105
Chattanoga,107,6109,3410,Huntsville,84,5889,3551,106
